iter	Passed	Remaining
0	0	402
1	0	320
2	0	283
3	1	264
4	1	253
5	1	246
6	1	239
7	1	235
8	2	231
9	2	229
10	2	227
11	2	226
12	2	225
13	3	223
14	3	221
15	3	219
16	3	218
17	3	217
18	4	218
19	4	217
20	4	216
21	4	215
22	5	215
23	5	214
24	5	216
25	5	216
26	5	215
27	6	215
28	6	214
29	6	214
30	6	214
31	7	213
32	7	212
33	7	211
34	7	211
35	7	211
36	8	210
37	8	210
38	8	209
39	8	209
40	9	210
41	9	210
42	9	210
43	9	210
44	9	209
45	10	208
46	10	208
47	10	207
48	10	207
49	10	207
50	11	206
51	11	206
52	11	205
53	11	205
54	11	205
55	12	204
56	12	203
57	12	203
58	12	202
59	12	202
60	13	201
61	13	201
62	13	201
63	13	200
64	13	200
65	14	199
66	14	199
67	14	199
68	14	198
69	14	198
70	15	198
71	15	197
72	15	197
73	15	197
74	15	197
75	16	196
76	16	196
77	16	196
78	16	195
79	16	195
80	17	195
81	17	194
82	17	193
83	17	192
84	17	192
85	18	192
86	18	191
87	18	191
88	18	191
89	18	190
90	19	190
91	19	190
92	19	189
93	19	189
94	19	189
95	20	189
96	20	189
97	20	188
98	20	188
99	20	188
100	21	188
101	21	188
102	21	187
103	21	187
104	21	187
105	22	186
106	22	186
107	22	186
108	22	186
109	22	185
110	23	185
111	23	185
112	23	184
113	23	184
114	23	184
115	24	184
116	24	183
117	24	183
118	24	182
119	24	182
120	25	182
121	25	181
122	25	181
123	25	181
124	25	181
125	26	181
126	26	180
127	26	180
128	26	180
129	26	180
130	27	180
131	27	179
132	27	179
133	27	179
134	27	178
135	28	178
136	28	178
137	28	178
138	28	177
139	28	177
140	29	177
141	29	176
142	29	176
143	29	176
144	29	175
145	30	175
146	30	175
147	30	175
148	30	174
149	30	174
150	31	174
151	31	174
152	31	173
153	31	173
154	31	173
155	32	173
156	32	173
157	32	172
158	32	172
159	32	172
160	32	171
161	33	171
162	33	171
163	33	171
164	33	170
165	33	170
166	34	170
167	34	170
168	34	169
169	34	169
170	34	169
171	35	169
172	35	168
173	35	168
174	35	168
175	35	168
176	36	167
177	36	167
178	36	167
179	36	167
180	36	167
181	37	166
182	37	166
183	37	166
184	37	166
185	37	166
186	38	165
187	38	165
188	38	165
189	38	165
190	38	164
191	39	165
192	39	164
193	39	164
194	39	164
195	40	164
196	40	164
197	40	164
198	40	163
199	40	163
200	41	163
201	41	163
202	41	162
203	41	162
204	41	162
205	42	162
206	42	162
207	42	161
208	42	161
209	42	161
210	43	161
211	43	161
212	43	160
213	43	160
214	43	160
215	44	160
216	44	159
217	44	159
218	44	159
219	44	159
220	45	158
221	45	158
222	45	158
223	45	158
224	45	157
225	46	157
226	46	157
227	46	157
228	46	157
229	46	156
230	47	156
231	47	156
232	47	156
233	47	155
234	47	155
235	47	155
236	48	155
237	48	155
238	48	154
239	48	154
240	49	154
241	49	154
242	49	154
243	49	153
244	49	153
245	50	153
246	50	153
247	50	153
248	50	153
249	50	152
250	51	152
251	51	152
252	51	152
253	51	151
254	51	151
255	52	151
256	52	151
257	52	151
258	52	150
259	52	150
260	53	150
261	53	150
262	53	150
263	53	149
264	53	149
265	54	149
266	54	149
267	54	148
268	54	148
269	54	148
270	55	148
271	55	148
272	55	147
273	55	147
274	56	147
275	56	147
276	56	147
277	56	147
278	56	146
279	57	146
280	57	146
281	57	146
282	57	146
283	57	146
284	58	145
285	58	145
286	58	145
287	58	145
288	59	145
289	59	145
290	59	144
291	59	144
292	59	144
293	60	144
294	60	143
295	60	143
296	60	143
297	60	143
298	61	143
299	61	143
300	61	142
301	61	142
302	61	142
303	62	142
304	62	142
305	62	141
306	62	141
307	62	141
308	63	141
309	63	141
310	63	140
311	63	140
312	63	140
313	64	140
314	64	139
315	64	139
316	64	139
317	64	139
318	65	139
319	65	138
320	65	138
321	65	138
322	65	138
323	66	137
324	66	137
325	66	137
326	66	137
327	67	137
328	67	137
329	67	136
330	67	136
331	67	136
332	68	136
333	68	136
334	68	135
335	68	135
336	68	135
337	68	135
338	69	134
339	69	134
340	69	134
341	69	134
342	70	134
343	70	133
344	70	133
345	70	133
346	70	133
347	71	133
348	71	132
349	71	132
350	71	132
351	71	132
352	72	132
353	72	131
354	72	131
355	72	131
356	72	131
357	73	131
358	73	130
359	73	130
360	73	130
361	73	130
362	74	129
363	74	129
364	74	129
365	74	129
366	74	129
367	75	128
368	75	128
369	75	128
370	75	128
371	75	128
372	76	127
373	76	127
374	76	127
375	76	127
376	76	127
377	77	126
378	77	126
379	77	126
380	77	126
381	77	126
382	78	125
383	78	125
384	78	125
385	78	125
386	78	125
387	79	124
388	79	124
389	79	124
390	79	124
391	79	124
392	80	123
393	80	123
394	80	123
395	80	123
396	80	122
397	81	122
398	81	122
399	81	122
400	81	122
401	81	121
402	82	121
403	82	121
404	82	121
405	82	120
406	82	120
407	83	120
408	83	120
409	83	120
410	83	119
411	83	119
412	84	119
413	84	119
414	84	118
415	84	118
416	84	118
417	84	118
418	85	118
419	85	117
420	85	117
421	85	117
422	85	117
423	86	117
424	86	116
425	86	116
426	86	116
427	86	116
428	87	115
429	87	115
430	87	115
431	87	115
432	87	115
433	88	114
434	88	114
435	88	114
436	88	114
437	88	114
438	89	113
439	89	113
440	89	113
441	89	113
442	89	113
443	90	112
444	90	112
445	90	112
446	90	112
447	90	111
448	91	111
449	91	111
450	91	111
451	91	111
452	91	110
453	92	110
454	92	110
455	92	110
456	92	110
457	92	109
458	93	109
459	93	109
460	93	109
461	93	109
462	93	108
463	94	108
464	94	108
465	94	108
466	94	108
467	94	107
468	95	107
469	95	107
470	95	107
471	95	107
472	95	106
473	96	106
474	96	106
475	96	106
476	96	106
477	96	105
478	97	105
479	97	105
480	97	105
481	97	105
482	97	104
483	98	104
484	98	104
485	98	104
486	98	104
487	98	103
488	99	103
489	99	103
490	99	103
491	99	102
492	99	102
493	100	102
494	100	102
495	100	102
496	100	101
497	100	101
498	101	101
499	101	101
500	101	101
501	101	101
502	102	100
503	102	100
504	102	100
505	102	100
506	102	99
507	102	99
508	103	99
509	103	99
510	103	99
511	103	98
512	103	98
513	104	98
514	104	98
515	104	98
516	104	97
517	104	97
518	105	97
519	105	97
520	105	97
521	105	96
522	105	96
523	106	96
524	106	96
525	106	96
526	106	95
527	106	95
528	107	95
529	107	95
530	107	95
531	107	94
532	107	94
533	108	94
534	108	94
535	108	93
536	108	93
537	108	93
538	109	93
539	109	93
540	109	92
541	109	92
542	109	92
543	110	92
544	110	92
545	110	91
546	110	91
547	110	91
548	111	91
549	111	91
550	111	90
551	111	90
552	111	90
553	112	90
554	112	90
555	112	89
556	112	89
557	112	89
558	113	89
559	113	88
560	113	88
561	113	88
562	113	88
563	113	88
564	114	87
565	114	87
566	114	87
567	114	87
568	114	87
569	115	86
570	115	86
571	115	86
572	115	86
573	115	86
574	116	85
575	116	85
576	116	85
577	116	85
578	117	85
579	117	84
580	117	84
581	117	84
582	117	84
583	118	84
584	118	83
585	118	83
586	118	83
587	118	83
588	119	83
589	119	82
590	119	82
591	119	82
592	119	82
593	120	82
594	120	81
595	120	81
596	120	81
597	120	81
598	121	81
599	121	80
600	121	80
601	121	80
602	121	80
603	122	80
604	122	79
605	122	79
606	122	79
607	122	79
608	123	79
609	123	78
610	123	78
611	123	78
612	123	78
613	124	78
614	124	77
615	124	77
616	124	77
617	124	77
618	125	77
619	125	76
620	125	76
621	125	76
622	125	76
623	126	75
624	126	75
625	126	75
626	126	75
627	126	75
628	127	74
629	127	74
630	127	74
631	127	74
632	127	74
633	128	73
634	128	73
635	128	73
636	128	73
637	128	73
638	129	72
639	129	72
640	129	72
641	129	72
642	129	72
643	130	71
644	130	71
645	130	71
646	130	71
647	130	71
648	131	70
649	131	70
650	131	70
651	131	70
652	132	70
653	132	69
654	132	69
655	132	69
656	132	69
657	133	69
658	133	68
659	133	68
660	133	68
661	133	68
662	134	68
663	134	67
664	134	67
665	134	67
666	134	67
667	135	67
668	135	66
